id,name,lastFinancingDate,lastFinancingDealType,lastFinancingDealType2,lastFinancingSize,lastFinancingValuation,lastFinancingStatus,ownershipStatus,financingStatus,financingStatusNote,activeInvestors,acquirers,primaryIndustryCode,description,hqLocation,companyWebsite
316,Loric Games,26-Jan-2024,Seed Round,Seed Round,4.00,14.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of Seed-1 funding in a deal led by 1AM Gaming on January 26, 2024, putting the company's pre-money valuation at $10 million. Hiro Capital, New Dominion Angels and Virginia Venture Partners also participated in the round. Other undisclosed investors also participated in the round. The funds will be used to put towards its first game, an unnamed project currently in development.","1AM Gaming, Hiro Capital, New Dominion Angels, Virginia Venture Partners",,Entertainment Software,"Operator of a gaming studio intended for storytelling and cooperative games. The company's games present players with more room for creativity beyond the basic actions and storylines in the gaming market, enabling players to have story-driven experiences.","Arlington, VA",www.loricgames.com
317,NasaClip,,Seed Round,Seed Round,4.00,,Upcoming,Privately Held (backing),Venture Capital-Backed,"The company is reportedly seeking $4 million of seed funding in a deal led by Xcellerant Ventures as of March 10, 2023. Other undisclosed investors will also be participating in the round. The funds will be used to develop a device that includes medication for people suffering from nose bleeds.","Black and Latino Angel Investment Fund, George Washington University Endowment, John Shufeldt, National Science Foundation, Nisbeth Nisbeth, Portfolia, Springboard Enterprises, TEDCO, Xcellerant Ventures",,Other Devices and Supplies,"Developer of a medical device designed to help control nosebleeds in children and adults. The company's nasal clip comes in adjustable sizes and applies constant hands-free pressure to the soft side walls of the nose and incorporates pre-medicated sponges to help deliver vasoconstrictive medication that can control bleeding, enabling healthcare professionals to improve the lives of patients and provide patients an optional facial cooling pack to help constrict vessels and reduce inflammation.","Highland, MD",www.nasaclip.com
318,Orchestra (Business/Productivity Software),01-Feb-2024,Seed Round,Seed Round,4.00,15.25,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding in a deal led by Definition in February 2024, putting the company's pre-money valuation at $11.25 million. Insight Partners, 8VC, Haystack Management Company, and Andreessen Horowitz also participated in the round.","8VC, Andreessen Horowitz, Definition, Haystack Management Company, Insight Partners",,Business/Productivity Software,"Developer of a collaborative software platform intended to make it easy for biotechnology companies to work together. The company's platform provides the purpose-built infrastructure to address the challenges of working across organizational boundaries and provides external collaboration, enabling companies to bring their products to the market.","San Francisco, CA",www.orchestra.bio
319,PulpOS,04-Apr-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding from DCG Expeditions, Andreessen Horowitz and Newtopia VC on April 4, 2024. H20 Capital Innovation also participated in the round. The funds will be used to expand their presence in Mexico, specifically with the opening of a new office in Guadalajara.","Andreessen Horowitz, DCG Expeditions, H20 Capital Innovation, Latitud, Newtopia VC",,Business/Productivity Software,"Developer of a cloud operating system platform intended to provide cutting-edge technology and financial services for independent retailers to thrive. The company's platform offers user-friendly point-of-sale services and helps in organized inventory management, enabling users to create their online catalog and increase sales.","Newark, DE",www.pulpos.com
320,Rec (Real Estate Services (B2C)),01-Mar-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding from NFX, Precursor Ventures and Long Journey Ventures on March 1, 2024.","Hawktail, Incite Ventures (San Francisco), Long Journey Ventures, NFX, Precursor Ventures, Springbank Collective, Wisdom Ventures",,Real Estate Services (B2C),"Operator of a building spaces reconstruction platform intended to transform the space into a community hub. The company partners with the client's organization to build flexible sports programming that works for your space, players and instructors are verified and every session is insured, providing people a place to play.","San Francisco, CA",partner.rec.us
321,Reveal HealthTech,20-Feb-2024,Seed Round,Seed Round,4.00,20.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million through a combination of Seed and Seed 1 funding in a deal led by W Health Ventures on February 20, 2024, putting the company's pre-money valuation at $16 million. Other undisclosed investors also participated in the round.",W Health Ventures,,Other Healthcare Technology Systems,"Developer of a healthcare technology platform intended to provide cross-functional technology services to healthcare companies. The company's platform aims to increase patient health outcomes by removing technology as a constraint for innovation and scale, enabling healthcare providers to utilize the transformative potential of their digital health technologies.","New York, NY",www.revealhealthtech.com
322,SimpleClosure,27-Feb-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding in a deal led by Infinity Ventures on February 27, 2024. Vera Equity, Cambrian Fintech, Anthemis, Foxe Capital and other undisclosed investors also participated in the round. The funds will be used to increase headcount across product and engineering and go-to-market functions. Previously, the company raised $1.5 million of pre-seed 2 funding in a deal led by Vera Equity and Cambrian Fintech on September 6, 2023, putting the company's pre-money valuation at $3.5 million. Other undisclosed investors also participated in the round. The funds will be used for product and engineering development.","Anthemis, Cambrian Fintech, Foxe Capital, Infinity Ventures(Palo Alto), Vera Equity",,Business/Productivity Software,"Operator of a business closure platform intended to automate and streamline the dissolution and wind-down process of companies. The company's platform specializes in resolving obligations with customers, state agencies and team members on behalf of the dissolving business, enabling entrepreneurs to mitigate the risk of fines and penalties and shut down companies effectively.","Covina, CA",www.simpleclosure.com
323,Thread (New York),15-Jan-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4.00 million of seed funding in a deal led by Integr8d Capital, David Bellini, and Adam Slutskin on January 15, 2024. Other undisclosed investors also participated in the round. Previously, the company joined ConnectWise PitchIT Accelerator Program on November 8, 2023, and received $70,000 in grant funding.","Adam Slutskin, ConnectWise, David Bellini, Integr8d Capital",,Business/Productivity Software,"Developer of a service collaboration platform designed to have a conversation with the right person to quickly resolve issues. The company's platform offers integrations with professional services to provide remote monitoring, and management and supports customer environments, live chat, workflows, and actions on month-to-month terms, enabling clients to connect to their customers with fewer work interruptions.","New York, NY",www.getthread.com
324,True Terpenes,04-Jan-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding from undisclosed investors on January 4, 2024.",,,Specialty Chemicals,"Manufacturer of terpenes intended to standardize and customize the aromas, flavors, and effects of products. The company's terpenes are blended and are designed to replicate the effect of the strain that is tested to demanding safety standards, enabling clients to customize the flavor, effect, and viscosity of their products.","Hillsboro, OR",www.trueterpenes.com
325,Umoja,19-Mar-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding from Quantstamp, Coinbase Ventures, and 500 Global on March 19, 2024. Psalion and 6 other investors also participated in the round. The funds will be used to introduce DeFi's first asset risk management primitive enabling anyone to insure their market losses just as a multi-billion-dollar hedge fund would.","500 Global, Blizzard Avalanche Fund, Blockchain Founders Fund, Coinbase Ventures, EMURGO Kepple Ventures, Formless Capital, Hyperithm, Orange DAO, Psalion, Quantstamp",,Other Financial Services,"Operator of a decentralized money protocol intended to prioritize the delivery of tangible value. The company offers automated risk hedging strategies for a wide range of assets, beginning with cryptocurrencies and a few select fiat currencies, enabling users to replicate traditional hedging instruments.","Atlanta, GA",www.umoja.xyz
326,UnityAI,20-Feb-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding in a deal led by Max Ventures on February 20, 2024. Whistler Capital Partners, Company Ventures, Nashville Capital Network and other undisclosed investors also participated in the round. The funds will be used to expand operations and the company's business reach.","Company Ventures, Max Ventures, Nashville Capital Network, Whistler Capital Partners",,Other Healthcare Technology Systems,"Developer of an AI-enabled care orchestration platform intended to create efficient, harmonious care environments. The company's platform absorbs the complexity of clinical processes with data and AI, unburdening care teams and calculating the next action for every care team member, enabling healthcare organizations to achieve clinical outcomes, improve patient experience, and reduce costs.","Nashville, TN",www.unityai.co
327,Valendo Health,30-Jan-2024,Seed Round,Seed Round,4.00,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding from Redesign Health and other undisclosed investors on January 30, 2024.",Redesign Health,,Practice Management (Healthcare),"Provider of practice management services intended to reward endocrinologists for improving care for people with diabetes. The company offers a wide range of services such as telehealth and remote patient monitoring services, patient engagement and achieving health outcomes, centralized revenue cycle management, patient tracking, clinical and financial reporting, development of care management infrastructure and more, enabling clinicians to empower independent endocrinologists.","New York, NY",www.valendohealth.com
328,Velou,12-Jan-2024,Seed Round,Seed Round,4.00,12.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $4 million of seed funding in a deal led by ANIMO Ventures on January 12, 2024, putting the company's pre-money valuation at $8 million. Ascend Venture Capital (Seattle), Sentiero Ventures, SK Ventures, Startup Haven and Revelry also participated in the round. The funds will be used to fuel the company's strategic expansion plans, including product and partnership development and key hires.","ANIMO Ventures, Ascend Venture Capital (Seattle), La Maison des startups, Revelry, Salesforce Accelerate, SAP.iO, Sentiero Ventures, SK Ventures, Startup Haven",,Business/Productivity Software,"Developer of an AI-powered search tool designed to increase e-commerce conversions and revenue using a product ranking algorithm. The company's tool takes consumer behavior, shopper profile, trends, and even seasonality into account to optimize the display order of products in online marketplaces, automatically and in real-time, enabling e-commerce retailers to show better search results when a customer is searching for an item on their website or mobile application.","San Francisco, CA",www.velou.com
329,ZeoDAC,27-Mar-2024,Seed Round,Seed Round,4.00,10.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an estimated $4.00 million of Seed funding in a deal led by Wilson Hill Ventures on March 27, 2024, putting the company's pre-money valuation at $6.00 million. Coca-Cola Europacific Partners, Freeflow Ventures, Global Brain, and other undisclosed investors also participated in the round.","Coca-Cola Europacific Partners, Freeflow Ventures, Global Brain, Wilson Hill Ventures",,Other Energy,"Operator of a climate technology company intended to capture carbon dioxide and water from the air for better environmental services. The company utilizes a combination of molecular sieves that can remove CO2 directly from the air that have established supply chains because of their use in other industries, enabling clients to reduce their environmental impact and carbon footprints for climate protection.",DE,www.zeodac.com
330,Kurs,06-Mar-2024,Seed Round,Seed Round,3.99,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised EUR 3.7 million of seed funding in a deal led by OTB Ventures on March 6, 2024. Credo Ventures, Galaxia, In-Q-Tel, Obloo, and Inovo VC also participated in the round. The funds will be used to accelerate the development and commercialization of an interface module.","Credo Ventures, ESA BIC Turin, Galaxia, Inovo VC, In-Q-Tel, Obloo, OTB Ventures, Seraphim Space, Techstars",,Aerospace and Defense,"Developer of a space technology designed to provide in-orbit servicing vehicles using space docking technology. The company offers an in-orbit servicing vehicle that helps satellite operators clear key orbits of debris and extend their satellite's commercial lifetime and performance, enabling companies to secure safe and sustainable orbits for generations.","Turin, Italy",www.kursorbital.com
331,CloudForge,15-Apr-2024,Seed Round,Seed Round,3.95,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.95 million of seed funding from Fractal Software, Bienville Capital and other undisclosed investors also participated on April 15, 2024.","Bienville Capital, Fractal Software",,Business/Productivity Software,"Developer of AI-based software intended for workflow automation and data insights in Inventory Management processes. The company's software streamlines inventory control with smart search capabilities, on-time updates, automated reordering, and demand forecasting, optimizing stock levels, enabling businesses to inventory track and reduce inventory costs.","New York, NY",www.cloudforgesoftware.com
332,Huxley Medical,28-Feb-2024,Seed Round,Seed Round,3.94,74.94,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.94 million of Seed-3 funding from undisclosed investors on February 28, 2024, putting the company's pre-money valuation at $71 million. Previously, the company raised $11.04 million through a combination of convertible debt, Seed-1 and Seed-2 funding from Duke Capital Partners, Georgia Research Alliance and GRA Venture Fund on May 26, 2023, putting the company's pre-money valuation at $62.5 million. Other undisclosed investors also participated in the round.","Duke Capital Partners (Durham), Georgia Research Alliance, GRA Venture Fund, National Institutes of Health, National Science Foundation",,Other Healthcare Technology Systems,"Developer of a flexible medical platform designed to provide patients continuity of care regardless of location or healthcare. The company's platform collaborates with thought-leading clinicians and basic science researchers to develop and market devices and algorithms, providing users with increased access to multiple disease diagnoses and treatments.","Atlanta, GA",www.huxleymed.com
333,Kanvas,18-Mar-2024,Seed Round,Seed Round,3.91,43.41,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.91 million of Seed-2A funding from FemHealth Ventures, and other undisclosed investors on March 18, 2024, putting the company's pre-money valuation at $39.5 million. Previously, the company raised $12 million of Seed-1 funding in a deal led by DCVC and Lions Capital on June 22, 2023, putting the company's pre-money valuation at $14 million. Cooke, Uncommon Denominator, and Triple Impact Capital also participated in the round. The funds will be used to further advance the company's proprietary platform technology. The funding was originally raised in the form of convertible notes and subsequently converted into equity.","Cooke, DCVC, FemHealth Ventures, Lions Capital, Triple Impact Capital, Uncommon Denominator",,Drug Discovery,"Developer of a healthcare imaging technology designed to bring microbiome drug discovery into focus and microbial detection. The company develops a multiplexed imaging technology for microbial detection by illuminating microbial life with the help of cells, providing researchers with tools for research, and creating cures for infectious diseases.","Monmouth Junction, NJ",www.kanvasbio.com
334,Aquifer,19-Jan-2024,Seed Round,Seed Round,3.89,11.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.89 million through a combination of Seed, Seed-1 and Seed-2 funding in a deal led by LDV Capital on January 19, 2024, putting the company's pre-money valuation at $7.11 million. Spin Master Ventures, Wedbush Ventures, Geekdom Fund, First Row Partners, Boost VC, Nomad Fund Ventures, Capital Factory, WXR Venture Fund, Techstars, Justin Siegel, Joshua Gutman, Chris Palmisano and Andrew Busey also participated in the round.","Andrew Busey, Boost VC, Capital Factory, Christopher Palmisano, First Row Partners, Geekdom Fund, Joshua Gutman, Justin Siegel, LDV Capital, Nomad Fund Ventures, Spin Master Ventures, Techstars, Wedbush Ventures, WXR Venture Fund",,Multimedia and Design Software,"Operator of an instant animation technology company intended to make professional animation accessible for all creators. The company's platform provides a database of artist-crafted character and story templates to create shots, facial expressions and character movements and features the ability to export the project to 4k and other video resolutions, enabling clients to develop three-dimensional content simply and collaboratively.","Austin, TX",www.aquifermotion.com
335,Minnow,08-Mar-2024,Seed Round,Seed Round,3.86,,Completed,Privately Held (backing),Venture Capital-Backed,"The company joined TiE Oregon approximately in March 2023. Previously, the company received $185,000 of grant funding from Bend Venture Conference on October 23, 2022.","Bend Venture Conference, Branded Hospitality, Elevate Capital, Gaingels, Inventum Ventures, Keiretsu Forum, LPC Ventures, Portland Seed Fund, Sawyer Island Consulting, TiE Oregon, TiE Silicon Valley",,Other Commercial Products,"Developer of contact-free pickup pods designed to keep food secure and people safe. The company's product can be used anywhere for food safety and hygiene and also intelligently manages every food delivery and pickup, enabling foodservice operators and commercial property managers to offer their customers and tenants a safer and more convenient food pickup or delivery experience.","Seattle, WA",www.minnowpod.com
336,Ghostdog,30-Jan-2024,Seed Round,Seed Round,3.85,13.85,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.85 million through a combination of Seed and Seed-1 funding from Moonshots Capital and undisclosed investors on January 30, 2024, putting the company's pre-money valuation at $10 million.",Moonshots Capital,,Other Commercial Products,Developer of a configurable mission browser designed for the classified web. The company is currently operating in Stealth mode.,"Worthington, OH",ghostdogvideos.com
337,Inflammasome Therapeutics,26-Jan-2024,Seed Round,Seed Round,3.80,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.80 million of seed funding from undisclosed investors on January 26, 2024.",Bill & Melinda Gates Foundation,,Drug Discovery,"Developer of therapies designed to focus on prevalent, degenerative diseases such as Alzheimer's and multiple sclerosis. The company's products are effective on diseases that are all characterized by upregulation of the inflammatory process, driven by prolonged activation of cytosolic multiprotein, enabling patients to reduce and prevent aberrant inflammasome activation.","Newton, MA",www.inflam.com
338,Umaro,07-Mar-2024,Seed Round,Seed Round,3.80,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.8 million of seed funding in a deal led by AgFunder on March 7, 2024. Alexandria Venture Investments, Ponderosa Ventures, Climate Capital, and Chris Paul also participated in the round. The funds will be used to help the company reduce production costs and launch its seaweed bacon into retail.","Activate Global, AgFunder, Ahimsa Foundation, Alexandria Venture Investments, Chris Paul, Clear Current Capital, Climate Capital, Impact Science Ventures, Mark Cuban, Ponderosa Ventures, Sustainable Food Ventures",,Food Products,"Developer of a sustainable protein source designed to support a thriving planet and the humane treatment of animals. The company offers nutritious, crispy, crunchy, and umami bacon foods, enabling seaweed farmers to surpass soy and produce a productive and scalable source of protein on Earth.","Albany, CA",www.umarofoods.com
339,InfraSight,26-Mar-2024,Seed Round,Seed Round,3.76,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.76 million of seed funding in the form of convertible debt from David Butcher, Robert Lerner and Adam Levine on March 26, 2024. Brendan Molan, Dan Coyne, William Martin and Jeff Spalding also participated in the round.","Adam Levine, Brendan Molan, Dan Coyne, David Butcher, Jeff Spalding, Robert Lerner, William Martin",,Business/Productivity Software,"Developer of business intelligence software designed to optimize the cost for the bare metal cloud. The company's software offers continuous audit, resource utilization, information technology infrastructure, cloud pricing analysis, workload management, and other related services, enabling the c-suite executives to track, manage, and optimize high-performance computing costs to improve profitability.","Huntersville, NC",www.infrasightsoftware.com
340,Compyl,26-Jan-2024,Seed Round,Series 1,3.75,13.75,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an estimated $3.75 million of Seed 1 funding from Armory Square Ventures, Zelkova Ventures and other undisclosed investors on January 26, 2024, putting the company's pre-money valuation at $10 million.","Alpine Meridian, Armory Square Ventures, Brooklyn Bridge Ventures, Contour Venture Partners, Octopus Investments, Zelkova Ventures",,Network Management Software,"Developer of an information security and compliance automation platform designed to offer a scalable governance, risk, and compliance ecosystem. The company's platform monitors and assigns workflows in a single location to ensure regulatory requirements and frameworks are continuously met by establishing a proper information security foundation across the entire organization, enabling organizations to eliminate the need for multiple security tools to gain enterprise-level insights and grow.","New York, NY",www.compyl.com
341,Lynch Regenerative Medicine,01-Feb-2024,Seed Round,Seed Round,3.75,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.75 million of seed funding from undisclosed investors on February 1, 2024. The funds will be used for expanding the company, as well as broaden and accelerate product development.4.",,,Other Healthcare Technology Systems,"Developer of skin health treatments designed to improve skin rejuvenation and regeneration to achieve optimal aesthetic results. The company offers concentration measured in platelet-rich plasma with human clinical trials to promote the treatment of both skin and bone in stimulating the healing process, enabling people to get healthier skin.","Franklin, TN",www.lynchregen.com
342,"Hook (Movies, Music and Entertainment)",07-Mar-2024,Seed Round,Seed Round,3.74,10.50,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.74 million of seed funding in a deal led by Waverley Capital, Point72 Ventures and Imaginary Ventures on March 7, 2024, putting the company's pre-money valuation at $6.76 million. Three Six Zero and Avex Entertainment also participated in the round. The funds will be used to fuel the continued development of the company's innovative music platform, which provides intuitive AI-powered music effects to enable music fans on social media to remix their favorite songs quickly, easily and legally and share them with the world, it also helps to expand the company's operations and development efforts.","Avex Entertainment, Imaginary Ventures, Point72 Ventures, Three Six Zero, Waverley Capital",,"Movies, Music and Entertainment","Developer of a music technology platform intended to offer a way music is expressed on social media. The company's platform provides tools that empower fans to quickly, easily and legally create new versions of their favorite songs for use on social media, enabling users to easily create new streams of revenue for artists and labels.","New York, NY",www.hookmusic.com
343,Coris (Business/Productivity Software),01-Feb-2024,Seed Round,Seed Round,3.70,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.7 million of seed funding in a deal led by Lux Capital and Exponent Founders Capital on February 1, 2024. Blank Ventures and 4 other investors also participated in the round. The funds will be used to scale company's AI-powered risk management platform.","Blank Ventures, Eric Dunn, Exponent Founders Capital, Immad Akhund, Lux Capital, William Clericois, Y Combinator",,Business/Productivity Software,"Developer of a risk application programming interface designed to underwrite small and medium-sized businesses. The company facilitates to building of the risk system at organizations, enabling fintechs to serve better small businesses whether it be for a loan product, payments processing, banking, payroll, or insurance.","Palo Alto, CA",www.coris.ai
344,Firewall (Financial Software),06-Mar-2024,Seed Round,Seed Round,3.70,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.7 million of pre-seed funding in a deal led by North Island Ventures, Breyer Capital and Hack VC on March 6, 2024. Finality Capital Partners and 5 other investors also participated in the round. The funds will be used to help expand the team and create the community to ""firewall the EVM"" and also develop coordination mechanisms to integrate the social layer directly into the Firewall.","Breyer Capital, Finality Capital Partners, Hack VC, Jordan Momtazi, Kain Warwick, Nathan McCauley, North Island Ventures, Timothy Ogilvie, Yaoqi Jia",,Network Management Software,"Developer of a crypto security platform dedicated to making smart contract technology safe to use in everyday life by eliminating smart contract exploits. The company's blockchain security infrastructure platform acts as an embedded security system that intelligently guards against threats and brings a required paradigm shift in the usability of blockchains, enabling users to enhance a chain's consensus mechanism and eliminate exploits on their roll-up.","San Francisco, CA",www.usefirewall.com
345,Harbor (Services (B2C Non-Financial)),01-Feb-2024,Seed Round,Seed Round,3.70,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.7 million of seed funding in a deal led by Trust Ventures on February 1, 2024. Carnrite Ventures and 10 other investors also participated in the round. The funds will be used by the company to expand operations and its business reach.","Capital Factory, Carnrite Ventures, Demi-Leigh Tebow, John Isner, Lauren Morstead, Madison Isner, Morrison Seger, Sam Parr, Sara Parr, Thomas Morstead, Tim Tebow, Trust Ventures",,Other Services (B2C Non-Financial),"Provider of child-sleep advice services intended to help parents improve their little one's sleep. The company offers advice for parenting without the exhaustion that comes from sleep deprivation, enabling parents to make informed choices with confidence through quality sleep.","Dallas, TX",www.harbor.co
346,Libretto (Business/Productivity Software),09-Apr-2024,Seed Round,Seed Round,3.70,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.7 million of seed funding in a deal led by XYZ Venture Capital and The General Partnership on April 9, 2024. Other undisclosed investors also participated in the round. The funds will be used to expand operations and development efforts.","The General Partnership, XYZ Venture Capital",,Business/Productivity Software,"Developer of a Large Language Model (LLM) enhancement technology intended to help bridge that gap between prototype and production. The company's technology lets developers see what their customers are doing with their LLM prompts in production, use production traffic and user feedback to build up a test set for their prompts, set up an evaluation strategy, enabling users to automatically score responses to their prompts and iterate and experiment models.","Brooklyn, NY",www.getlibretto.com
347,M Chest Pharmacy,01-Mar-2024,Seed Round,Seed Round,3.70,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.7 million of seed funding from undisclosed investors on March 1, 2024.",,,Other Pharmaceuticals and Biotechnology,"Operator of an institutional pharmacy based in Tyler, Texas. The company provides applies for chemotherapy, pain management, hydration, peripheral and midline insertions, and antibiotics among others, enabling assisted senior living (AL), skilled nursing facilities (SNF), long-term care facilities, and other institutional care settings across Texas to meet their pharmaceutical needs.","Tyler, TX",www.mchest.com
348,Portal Labs,01-Mar-2024,Seed Round,Seed Round,3.70,28.70,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised an additional $3.7 million of Seed funding from WAGMI Ventures (New York) and other undisclosed investors on March 1, 2024, putting the company's pre-money valuation at an estimated $25 million.","Acrew Capital, Ayokunle Omojola, Calvin French-Owen, Canonical Crypto, Chapter One, Diogo Monica, Gokul Rajaram, Haun Ventures, Henrique Dubagras, Kindergarten Ventures, Not Boring, Rally Cap VC, Serunjogi Ventures, Sima Gandhi, Slow Ventures, Terry Angelos, WAGMI Ventures (New York), William Hockey",,Financial Software,"Operator of web3 infrastructure intended to unlock capabilities for the upcoming users. The company provides consumer infrastructure to give users a native experience with security, simple integration, UX, and endless use cases, enabling customers easy ways to interact with NFTs, Defi, play-to-earn gaming, and more.","San Francisco, CA",www.portalhq.io
349,Tandem (Financial Software),22-Jan-2024,Seed Round,Seed Round,3.69,10.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.69 million of Seed-1, Seed-2 and Seed-3 funding in a deal led by Corazon Capital on January 22, 2024, putting the company's pre-money valuation at $6.31 million. TAWANI Ventures, Michigan Rise and Network Ventures also participated in the round. The funds will be used to launch the 'Goals' feature, expand marketing efforts, and introduce an Android app.","CitySide Ventures, Corazon Capital, Everywhere Ventures, gener8tor, Goodwater Capital, Groove Capital, Invest Detroit Ventures, Michigan Rise, Network Ventures, Red Cedar Ventures, TAWANI Ventures",,Financial Software,"Developer of a peer-to-peer payment application designed to offer a quick and easy way for couples to share expenses. The company's application puts expense sharing on auto-pilot and helps to split expenses with a swipe and imports expenses from the cards and accounts also, enabling modern households to grow wealth by splitting groceries, planning, and saving for the next shared goal.","Ann Arbor, MI",www.usetandem.com
350,CodeRabbit,18-Mar-2024,Seed Round,Series 1,3.61,68.61,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.61 million of Seed Series-1 funding from undisclosed investors on March 18, 2024, putting the company's pre-money valuation at $65 million.",,,Software Development Applications,"Developer of an AI-based code reviewer intended to accelerate code reviews. The company's platform objective is to enhance code quality, while minimizing the time and resources required for manual code reviews, enabling coders with line-by-line code suggestions and conversation capabilities for Q&A within your lines of code.","Walnut Creek, CA",coderabbit.ai
351,AI.Fashion,07-Feb-2024,Seed Round,Seed Round,3.60,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.6 million of seed funding in a deal led by Neo on February 7, 2024. Trust Fund and Other undisclosed investors also participated in the round.","Neo (Consulting Services (B2B)), Swift Ventures, Trust Fund, Y Combinator",,Multimedia and Design Software,"Developer of an AI tool designed for fashion content creation. The company's tool transforms rough sketches into photorealistic models, cutting time to market, enabling businesses to pre-selling before committing to expensive production processes, and reducing returns.","Los Angeles, CA",www.ai.fashion
352,Fortified Insight,04-Apr-2024,Seed Round,Seed Round,3.60,11.00,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.6 million of Seed funding from undisclosed investors on April 4, 2024, putting the company's pre-money valuation at $7.4 million.",,,Database Software,"Developer of a business software platform designed to develop and provide database monitoring and management software. The company's flagship product provides real-time monitoring of key database metrics, including CPU usage, memory consumption, and I/O activity, and also provides capacity planning tools, enabling organizations to optimize their database performance, improve efficiency, and ensure data availability.","Fort Mill, SC",www.fortifiedinsight.com
353,Paraform,15-Apr-2024,Seed Round,Seed Round,3.60,18.60,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.6 million through a combination of Seed-1, and Seed-2 funding in a deal led by A* Capital on April 15, 2024, putting the company's pre-money valuation at $15 million. Primer Sazze Partners, Soma Capital and Evan Moore also participated in the round. The funds will be used to expand across the U.S. and hire more engineers and operators to service the company's growing customer demands.","A* Capital, Evan Moore, Founders, Inc, Kevin Lin, Primer Sazze Partners, Soma Capital, Untamed Ventures",,Human Capital Services,"Operator of a recruiting platform intended to choose from the startups to recruit for and earn. The company offers a place to connect with companies and businesses and refer candidates to job opportunities at the most exciting startups, enabling individuals with jobs through a digital portal at their desired startups and companies.","San Francisco, CA",www.paraform.com
354,PeerDB,11-Apr-2024,Seed Round,Seed Round,3.60,,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.6 million of seed funding in a deal led by 8VC on April 11, 2024. Wayfinder Ventures and 7 other investors also participated in the round. The funds will be used to build up its engineering team and accelerate its go-to-market strategy to support its growth.","8VC, Flex Capital, Orange Collective, Paul Copplestone, Pioneer Fund, Rogue Capital, Wayfinder Ventures, Webb Investment Network, Y Combinator",,Database Software,"Developer of a data movement platform intended to offer fast and cost-effective data replication to clients. The company's platform syncs, transforms and queries data across the stores using simple SQL commands, enabling clients to query multiple data stores through a common SQL interface.","San Carlos, CA",www.peerdb.io
355,3Daughters,22-Jan-2024,Seed Round,Seed Round,3.52,8.52,Completed,Privately Held (backing),Venture Capital-Backed,"The company raised $3.52 million through a combination of Seed, and Seed-1 funding in a deal led by Thairm Bio on January 22, 2024, putting the company's pre-money valuation at $5 million. Argosy Foundation, Wexford Science & Technology and University of Massachusetts Amherst also participated in the round.","Argosy Foundation, MassVentures, Thairm Bio, University of Massachusetts Amherst, Wexford Science & Technology",,Therapeutic Devices,"Developer of a painless intrauterine device designed to focus on evolutionary healthcare for women. The company's device is used to improve upon the outdated T-shape frame of current devices that causes pain, perforation, and expulsion, enabling female patients to easily feel self-assembled and conform to a woman's body with no strings attached.","Mansfield, MA",www.3daughtershealth.com
